texts,data_labels
[المجلس الأعلى للأمن الجزائر برئاسة الرئيس عبد المجيد تبون],1
[سنتخذ إجراءات لحماية حدودنا وإقليمنا وسنفعل دورنا ملفي ليبيا ومالي],1
[الصين تطلق الصاروخ الفضائي القوي (longue marche5) وتركيا تكشف أول سيارة كهربائية مصنعة محليا بالكامل مشروع بقيمة 3،7 مليار دولار وروسيا تنشر أول صاروخ نووي يفوق سرعة الصوت بمراحل],1
[المصدرfrance 24],1
[هذا عام ينقصي أعمارنا وعام يقبل علينا فماذا فعلنا مضى وماذا سنفعل يقدم علينا],1
[الزمن قيمة ذاتية يستمد قيمته أعمالنا],1
[فإلى العمل المفيد سنة 2020],1
[عام وأنتم و أسركم بالف خير أحبابي وبلدنا بالف خير باذن الله],1
[الدكتور عبد اللطيف المكي تعيين خمسة قضاة الحكومة دليل الثقة الكبيرة للقضاء],1
[الدكتور عبد اللطيف المكي يوجد صدام حركة النهضة ورئيس الحكومة المكلف وتسريب التشكيلة الحكومية عمل أخلاقي],1
[التعازي للشعب الليبي الشقيق مصابه الجلل وكل التضامن المدافعين طرابلس وعن الشرعية],1
[رئيس الحكومة يصنع وحده الربيع، يجب يكون معه فريق كفؤ ومتجانس],1
[الدكتور عبد اللطيف المكي سنفاوض رئيس الحكومة المكلف الياس الفخفاخ نراه صالحا للبلاد],1
[رجائي ودعائي بالتوفيق والنجاح لقائمات حركة النهضة الانتخابات البلدية الجزئية تجري اليوم عدة بلديات مثل الدندان، البطان، رقادة، نفزة والقصيبة_الثريات],1
[عندما نفكر الموت بمقاييس الدنيا يكون المشهد بائسا ومفرقا ونواصل معارك الدنيا],1
[فكرنا الدنيا بان آخرتها موت لكانت حياتنا اكثر إيجابية وأكثر تسامحا ولكنا تضامنا ولساعدنا إنهاء معارك الدنيا],1
[رحم الله الموتى والأحياء كان قربي منهم او بعدي عنهم],1
[خفف الله آلام فقدوا عزيزا],1
[إخوة الوطن وفي الإنسانية، عيال الله],1
[الدكتور عبد اللطيف المكي حركة النهضة تطالب بحزام سياسي واسع داعما للحكومة لتتمكن الاصلاحات والا فائدة],1
[مني الإحترام و التقدير],1
[الدعم],1
[ربي يوفقك],1
[بالتوفيق],1
[ماشاء الله تبارك الرحمان],1
[حظر التجوال فرصة للإعتناء ببيوتنا وإعادة ترتيبها أغراضنا إستعدادا لشهر رمضان المعظم تضيعوا الفرصة],1
[رب يحفظهم ان شاء الله],1
[احنا حجر صحي قبل ماتعلنوا عليهخذينا احتياطنا وشدينا الدار  اما سمع بينا حد 🙄],1
[سيدي الوزير كان الله عونك انت و سار منوالك الشرفاء ،تحية قلبي],1
[كلنا شادين الدار والحمد لله نمنعوا ونمنعو بلادنا ربي يحمي تونس 😍],1
[انشاءالله ربي يسترنا ويحمي تونس والله انا كيفو تقريبا],1
[العائلات ممتثلة للحجر الصحي العام و ينشر الفايسبوك كذبالتونسي ميلعبش بصحتو و صحة الغاليين عليه],1
[#الشركة_التونسية_للكهرباء_والغاز💖],1
[#درة_القطاع_العام✌],1
[#جنود_الكهرباء_والغاز #جنود_الخفاء 💪],1
[اللحظة ننسى شكر اولادنا المتجندين 24/24 ساعة لاستمرارية المرفق العام و لاستمرارية تدفق الكهرباء و الغاز و مخليين صغارهم و عائلاتهم الظروف الاستثنائية فدورهم يقل اهمية الجيش و الامن و اعوان و اطارات قطاع الصحة ،],1
[الكهرباء و الغاز ركائز الامن العام الثكنات و المستشفيات و الطرقات و المواطنين الكل كهرباء يقع شلل تام للبلاد، أبناؤنا فخورة بتأدية الواجب و إنارة راية بلادنا],1
[تستهينوا بدور جنود الكهرباء و الغاز],1
[وقت اللي يجد الجد تلقى كان #القطاع_العام],1
[من فضل الله والروح الوطنية عندي ستيديو فارغ اتبرع لمن يعمل بقطاع الصحة ومجبر التنقل تونس العاصمة الى خارجها والتنقل اصبح يمثل اشكال يمكن ياوي شخصين الى اربعة اشخاص يسكنوه مجانا يرفع عنا الله الوباء],1
[ملاحظة متواظع وفي حي متواضع لكنه قريب المستشفى العسكري],1
[يريد يكتب وانا ارد فورا],1
[محلاهم عيلة تهبل],1
[ربي يحمي العايلات الكل و شدة و تزول],1
[الإحترام و التقدير الى عمال النظافة و ربي يعاونهم و يعطيهم الصحة و القوة و يحميهم الامراض كانتأنحني تقديرا و شكرا 🌹🌹],1
[التقدير والاحترام والتقدير سي عبد اللطيف وربي يحمي الجميع],1
[سيدي الجنيرال يبارك الصادقين تونسنا العزيزة],1
[ربي يحفظهم يستاهلو خير],1
[التقدير للجميع أبناء البريد التونسي قاموا بعمل جبار للوصول بشكل أفضل أجل خدمة الوطن العزيز يجمع الكل حسابات نحمل قواسم مشتركة عديدة نرتقي سلم الإنسانية تأسس الخير والحق عاش البريد التونسي],1
[التقدير والاحترام والله الموفق],1
[الف الف تحيه ربي يعينهم],1
[ان شاء الله رب يحفظهم],1
[ربي يحفظهم وربي يقدرنا رد جميلهم⚘⚘],1
[ربي يحفظهم و يحميهم 🤲🇹🇳],1
[وكل الإحترام والتقدير القائد الأعلى للجيوش البيضاء],1
[حفظكم الرحمان ووفقكم الخير للعباد و البلاد],1
[بارك الله جهدكم وجنودكملأنكم ممنوعون الصرف فلاتعيروهم اي اهتمامالله معكم حافظكم],1
[ربي معاهم وربي يحفظهم],1
[شكرا سي عبد اللطيف التقدير والأحترام وألف ألف تحية وربي يحفظك ويبارك فيك],1
[ربي يجازيهم خير و ربي يعلي درجتهم],1
[بارك الله فيكم وجزاكم الله خيرا],1
[ربي يحفظكم وربي يحميكم],1
[تحية انت و انا فرحانه بولد جهتي و فخر بيك ربي يكشف علينا البلاء ان شاء الله],1
[الله يبارك فيك ويعطيك الصحة جهودك],1
[ربي يحميهم],1
[أكيد إنشاء الله وامالنا كبيرة تعافي بلادنا],1
[ربي يحميهم ويحمينا],1
[ربي يحفظهم ويحميهم],1
